selected_function,protocol,seed,exp_id,overwrite_plate,passage_overwrite_plate,output_dir,save_function,save_composition,save_plate,function_lograte,composition_lograte,scale,n_inoc,rich_medium,monoculture,dilution,n_wells,n_propagation,n_transfer,n_transfer_selection,sigma_func,alpha_func,binary_threshold,g0,cost_mean,cost_sd,directed_selection,knock_out,knock_in,knock_in_threshold,bottleneck,bottleneck_size,migration,n_migration,s_migration,coalescence,frac_coalescence,resource_shift,r_type,r_percent,sampling,sn,sf,s_gen,rn,rf,R0_food,food,supply,muc,sigc,c0,c1,q,sparsity,fs,fw,g,w,l,m,n,response,sigma_max,regulation,nreg,tau,r
f1_additive,simple_screening,1,f1_additive-simple_screening-1,NA,False,../Data/Raw/,True,True,False,1,20,1000000,1000000,True,False,0.001,96,1,40,20,1,1,1,1,0,0,False,False,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,NA,NA,NA,NA,NA
f1_additive,simple_screening,1,f1_additive-monoculture-1,NA,False,../Data/Raw/,True,True,False,1,20,1000000,1000000,True,True,0.001,96,1,40,20,1,1,1,1,0,0,False,False,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,NA,NA,NA,NA,NA
f1_additive,select_top25,1,f1_additive-select_top25-1,NA,False,../Data/Raw/,True,True,False,1,20,1000000,1000000,True,False,0.001,96,1,40,20,1,1,1,1,0,0,False,False,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,NA,NA,NA,NA,NA
f1_additive,select_top10,1,f1_additive-select_top10-1,NA,False,../Data/Raw/,True,True,False,1,20,1000000,1000000,True,False,0.001,96,1,40,20,1,1,1,1,0,0,False,False,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,NA,NA,NA,NA,NA
f1_additive,pool_top25,1,f1_additive-pool_top25-1,NA,False,../Data/Raw/,True,True,False,1,20,1000000,1000000,True,False,0.001,96,1,40,20,1,1,1,1,0,0,False,False,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,NA,NA,NA,NA,NA
f1_additive,pool_top10,1,f1_additive-pool_top10-1,NA,False,../Data/Raw/,True,True,False,1,20,1000000,1000000,True,False,0.001,96,1,40,20,1,1,1,1,0,0,False,False,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,NA,NA,NA,NA,NA
f1_additive,Blouin2015,1,f1_additive-Blouin2015-1,NA,False,../Data/Raw/,True,True,False,1,20,1000000,1000000,True,False,0.001,96,1,40,20,1,1,1,1,0,0,False,False,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,NA,NA,NA,NA,NA
f1_additive,Blouin2015_control,1,f1_additive-Blouin2015_control-1,NA,False,../Data/Raw/,True,True,False,1,20,1000000,1000000,True,False,0.001,96,1,40,20,1,1,1,1,0,0,False,False,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,NA,NA,NA,NA,NA
f1_additive,Jochum2019,1,f1_additive-Jochum2019-1,NA,False,../Data/Raw/,True,True,False,1,20,1000000,1000000,True,False,0.001,96,1,40,20,1,1,1,1,0,0,False,False,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,NA,NA,NA,NA,NA
f1_additive,Mueller2019,1,f1_additive-Mueller2019-1,NA,False,../Data/Raw/,True,True,False,1,20,1000000,1000000,True,False,0.001,96,1,40,20,1,1,1,1,0,0,False,False,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,NA,NA,NA,NA,NA
f1_additive,Panke_Buisse2015,1,f1_additive-Panke_Buisse2015-1,NA,False,../Data/Raw/,True,True,False,1,20,1000000,1000000,True,False,0.001,96,1,40,20,1,1,1,1,0,0,False,False,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,NA,NA,NA,NA,NA
f1_additive,Swenson2000a,1,f1_additive-Swenson2000a-1,NA,False,../Data/Raw/,True,True,False,1,20,1000000,1000000,True,False,0.001,96,1,40,20,1,1,1,1,0,0,False,False,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,NA,NA,NA,NA,NA
f1_additive,Swenson2000a_control,1,f1_additive-Swenson2000a_control-1,NA,False,../Data/Raw/,True,True,False,1,20,1000000,1000000,True,False,0.001,96,1,40,20,1,1,1,1,0,0,False,False,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,NA,NA,NA,NA,NA
f1_additive,Swenson2000c,1,f1_additive-Swenson2000c-1,NA,False,../Data/Raw/,True,True,False,1,20,1000000,1000000,True,False,0.001,96,1,40,20,1,1,1,1,0,0,False,False,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,NA,NA,NA,NA,NA
f1_additive,Wright2019,1,f1_additive-Wright2019-1,NA,False,../Data/Raw/,True,True,False,1,20,1000000,1000000,True,False,0.001,96,1,40,20,1,1,1,1,0,0,False,False,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,NA,NA,NA,NA,NA
f1_additive,Wright2019_control,1,f1_additive-Wright2019_control-1,NA,False,../Data/Raw/,True,True,False,1,20,1000000,1000000,True,False,0.001,96,1,40,20,1,1,1,1,0,0,False,False,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,NA,NA,NA,NA,NA
f1_additive,Swenson2000b,1,f1_additive-Swenson2000b-1,NA,False,../Data/Raw/,True,True,False,1,20,1000000,1000000,True,False,0.001,96,1,40,20,1,1,1,1,0,0,False,False,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,NA,NA,NA,NA,NA
f1_additive,Swenson2000b_control,1,f1_additive-Swenson2000b_control-1,NA,False,../Data/Raw/,True,True,False,1,20,1000000,1000000,True,False,0.001,96,1,40,20,1,1,1,1,0,0,False,False,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,NA,NA,NA,NA,NA
f1_additive,Chang2020a,1,f1_additive-Chang2020a-1,NA,False,../Data/Raw/,True,True,False,1,20,1000000,1000000,True,False,0.001,96,1,40,20,1,1,1,1,0,0,False,False,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,NA,NA,NA,NA,NA
f1_additive,Chang2020a_control,1,f1_additive-Chang2020a_control-1,NA,False,../Data/Raw/,True,True,False,1,20,1000000,1000000,True,False,0.001,96,1,40,20,1,1,1,1,0,0,False,False,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,NA,NA,NA,NA,NA
f1_additive,Chang2020b,1,f1_additive-Chang2020b-1,NA,False,../Data/Raw/,True,True,False,1,20,1000000,1000000,True,False,0.001,96,1,40,20,1,1,1,1,0,0,False,False,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,NA,NA,NA,NA,NA
f1_additive,Chang2020b_control,1,f1_additive-Chang2020b_control-1,NA,False,../Data/Raw/,True,True,False,1,20,1000000,1000000,True,False,0.001,96,1,40,20,1,1,1,1,0,0,False,False,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,NA,NA,NA,NA,NA
f1_additive,Arora2019,1,f1_additive-Arora2019-1,NA,False,../Data/Raw/,True,True,False,1,20,1000000,1000000,True,False,0.001,96,1,40,20,1,1,1,1,0,0,False,False,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,NA,NA,NA,NA,NA
f1_additive,Arora2019_control,1,f1_additive-Arora2019_control-1,NA,False,../Data/Raw/,True,True,False,1,20,1000000,1000000,True,False,0.001,96,1,40,20,1,1,1,1,0,0,False,False,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,NA,NA,NA,NA,NA
f1_additive,Raynaud2019a,1,f1_additive-Raynaud2019a-1,NA,False,../Data/Raw/,True,True,False,1,20,1000000,1000000,True,False,0.001,96,1,40,20,1,1,1,1,0,0,False,False,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,NA,NA,NA,NA,NA
f1_additive,Raynaud2019a_control,1,f1_additive-Raynaud2019a_control-1,NA,False,../Data/Raw/,True,True,False,1,20,1000000,1000000,True,False,0.001,96,1,40,20,1,1,1,1,0,0,False,False,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,NA,NA,NA,NA,NA
f1_additive,Raynaud2019b,1,f1_additive-Raynaud2019b-1,NA,False,../Data/Raw/,True,True,False,1,20,1000000,1000000,True,False,0.001,96,1,40,20,1,1,1,1,0,0,False,False,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,NA,NA,NA,NA,NA
