exp_id,Transfer,Type,ID,Well,Abundance
f1_additive-pool_top25-2,0,consumer,1,W0,0.001344
f1_additive-pool_top25-2,0,consumer,8,W0,0.000241
f1_additive-pool_top25-2,0,consumer,14,W0,8e-06
f1_additive-pool_top25-2,0,consumer,19,W0,1e-06
f1_additive-pool_top25-2,0,consumer,32,W0,0.042808
f1_additive-pool_top25-2,0,consumer,35,W0,3.8e-05
f1_additive-pool_top25-2,0,consumer,46,W0,0.002923
f1_additive-pool_top25-2,0,consumer,62,W0,1e-06
f1_additive-pool_top25-2,0,consumer,94,W0,1e-06
f1_additive-pool_top25-2,0,consumer,97,W0,5e-06
f1_additive-pool_top25-2,0,consumer,100,W0,2e-06
f1_additive-pool_top25-2,0,consumer,112,W0,0.000616
f1_additive-pool_top25-2,0,consumer,117,W0,0.024752
f1_additive-pool_top25-2,0,consumer,119,W0,0.026293
f1_additive-pool_top25-2,0,consumer,127,W0,0.021988
f1_additive-pool_top25-2,0,consumer,128,W0,4.2e-05
f1_additive-pool_top25-2,0,consumer,137,W0,6e-06
f1_additive-pool_top25-2,0,consumer,143,W0,0.004013
f1_additive-pool_top25-2,0,consumer,146,W0,1e-06
f1_additive-pool_top25-2,0,consumer,153,W0,2e-06
f1_additive-pool_top25-2,0,consumer,161,W0,1.5e-05
f1_additive-pool_top25-2,0,consumer,165,W0,1e-06
f1_additive-pool_top25-2,0,consumer,200,W0,0.009497
f1_additive-pool_top25-2,0,consumer,201,W0,8e-06
f1_additive-pool_top25-2,0,consumer,213,W0,0.000854
f1_additive-pool_top25-2,0,consumer,225,W0,2.6e-05
f1_additive-pool_top25-2,0,consumer,231,W0,4.2e-05
f1_additive-pool_top25-2,0,consumer,236,W0,0.006503
f1_additive-pool_top25-2,0,consumer,255,W0,7.3e-05
f1_additive-pool_top25-2,0,consumer,257,W0,0.006844
f1_additive-pool_top25-2,0,consumer,271,W0,4.9e-05
f1_additive-pool_top25-2,0,consumer,274,W0,1e-05
f1_additive-pool_top25-2,0,consumer,279,W0,0.0035
f1_additive-pool_top25-2,0,consumer,280,W0,0.047618
f1_additive-pool_top25-2,0,consumer,285,W0,0.003246
f1_additive-pool_top25-2,0,consumer,293,W0,4e-06
f1_additive-pool_top25-2,0,consumer,299,W0,1e-06
f1_additive-pool_top25-2,0,consumer,305,W0,2.8e-05
f1_additive-pool_top25-2,0,consumer,306,W0,0.005382
f1_additive-pool_top25-2,0,consumer,308,W0,0.000416
f1_additive-pool_top25-2,0,consumer,315,W0,0.020907
f1_additive-pool_top25-2,0,consumer,323,W0,4.6e-05
f1_additive-pool_top25-2,0,consumer,326,W0,0.000696
f1_additive-pool_top25-2,0,consumer,327,W0,0.000871
f1_additive-pool_top25-2,0,consumer,335,W0,0.00049
f1_additive-pool_top25-2,0,consumer,344,W0,1e-06
f1_additive-pool_top25-2,0,consumer,349,W0,0.003075
f1_additive-pool_top25-2,0,consumer,351,W0,6e-06
f1_additive-pool_top25-2,0,consumer,352,W0,3e-06
f1_additive-pool_top25-2,0,consumer,353,W0,2.1e-05
f1_additive-pool_top25-2,0,consumer,372,W0,0.011164
f1_additive-pool_top25-2,0,consumer,392,W0,7.8e-05
f1_additive-pool_top25-2,0,consumer,394,W0,9.6e-05
f1_additive-pool_top25-2,0,consumer,396,W0,5.6e-05
f1_additive-pool_top25-2,0,consumer,397,W0,7.4e-05
f1_additive-pool_top25-2,0,consumer,404,W0,0.000252
f1_additive-pool_top25-2,0,consumer,406,W0,0.001338
f1_additive-pool_top25-2,0,consumer,409,W0,0.002134
f1_additive-pool_top25-2,0,consumer,422,W0,0.020019
f1_additive-pool_top25-2,0,consumer,428,W0,6.1e-05
f1_additive-pool_top25-2,0,consumer,431,W0,0.000265
f1_additive-pool_top25-2,0,consumer,455,W0,4e-06
f1_additive-pool_top25-2,0,consumer,464,W0,3e-06
f1_additive-pool_top25-2,0,consumer,476,W0,0.002643
f1_additive-pool_top25-2,0,consumer,480,W0,0.000577
f1_additive-pool_top25-2,0,consumer,496,W0,2e-06
f1_additive-pool_top25-2,0,consumer,497,W0,0.000301
f1_additive-pool_top25-2,0,consumer,498,W0,0.001096
f1_additive-pool_top25-2,0,consumer,509,W0,0.000123
f1_additive-pool_top25-2,0,consumer,520,W0,0.00844
f1_additive-pool_top25-2,0,consumer,531,W0,2.4e-05
f1_additive-pool_top25-2,0,consumer,535,W0,0.001847
f1_additive-pool_top25-2,0,consumer,547,W0,1e-06
f1_additive-pool_top25-2,0,consumer,549,W0,0.000221
f1_additive-pool_top25-2,0,consumer,555,W0,3e-06
f1_additive-pool_top25-2,0,consumer,564,W0,0.014279
f1_additive-pool_top25-2,0,consumer,573,W0,6e-06
f1_additive-pool_top25-2,0,consumer,574,W0,0.00014
f1_additive-pool_top25-2,0,consumer,577,W0,0.000109
f1_additive-pool_top25-2,0,consumer,588,W0,3e-06
f1_additive-pool_top25-2,0,consumer,598,W0,1e-06
f1_additive-pool_top25-2,0,consumer,599,W0,0.003776
f1_additive-pool_top25-2,0,consumer,601,W0,0.005007
f1_additive-pool_top25-2,0,consumer,603,W0,0.000246
f1_additive-pool_top25-2,0,consumer,609,W0,3.6e-05
f1_additive-pool_top25-2,0,consumer,611,W0,6.5e-05
f1_additive-pool_top25-2,0,consumer,613,W0,0.012745
f1_additive-pool_top25-2,0,consumer,630,W0,0.013651
f1_additive-pool_top25-2,0,consumer,632,W0,4.1e-05
f1_additive-pool_top25-2,0,consumer,633,W0,4e-05
f1_additive-pool_top25-2,0,consumer,641,W0,1e-05
f1_additive-pool_top25-2,0,consumer,642,W0,3e-06
f1_additive-pool_top25-2,0,consumer,646,W0,0.044468
f1_additive-pool_top25-2,0,consumer,650,W0,0.01955
f1_additive-pool_top25-2,0,consumer,656,W0,1.4e-05
f1_additive-pool_top25-2,0,consumer,657,W0,3.7e-05
f1_additive-pool_top25-2,0,consumer,659,W0,0.00143
f1_additive-pool_top25-2,0,consumer,671,W0,0.000608
f1_additive-pool_top25-2,0,consumer,684,W0,0.000111
f1_additive-pool_top25-2,0,consumer,690,W0,5.6e-05
f1_additive-pool_top25-2,0,consumer,695,W0,0.000311
f1_additive-pool_top25-2,0,consumer,699,W0,1e-05
f1_additive-pool_top25-2,0,consumer,707,W0,4e-06
f1_additive-pool_top25-2,0,consumer,710,W0,0.005773
f1_additive-pool_top25-2,0,consumer,713,W0,0.000534
f1_additive-pool_top25-2,0,consumer,715,W0,2e-06
